  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   8.128E+016  2.275E+001  1.000E+001  4.597E-003  9.888E-001  3.458E-010  0.000E+000  0.000E+000  2.362E-010  0.000E+000  0.000E+000  9.337E+000
   8.710E+016  1.981E+001  1.000E+001  4.290E-003  9.896E-001  3.461E-010  0.000E+000  0.000E+000  2.364E-010  0.000E+000  0.000E+000  9.338E+000
   9.333E+016  1.725E+001  1.000E+001  4.004E-003  9.903E-001  3.464E-010  0.000E+000  0.000E+000  2.366E-010  0.000E+000  0.000E+000  9.338E+000
   1.000E+017  1.503E+001  1.000E+001  3.737E-003  9.909E-001  3.466E-010  0.000E+000  0.000E+000  2.368E-010  0.000E+000  0.000E+000  9.338E+000
   1.072E+017  1.309E+001  1.000E+001  3.487E-003  9.915E-001  3.468E-010  0.000E+000  0.000E+000  2.370E-010  0.000E+000  0.000E+000  9.338E+000
   1.148E+017  1.140E+001  1.000E+001  3.255E-003  9.921E-001  3.471E-010  0.000E+000  0.000E+000  2.372E-010  0.000E+000  0.000E+000  9.339E+000
   1.230E+017  9.929E+000  1.000E+001  3.037E-003  9.926E-001  3.472E-010  0.000E+000  0.000E+000  2.373E-010  0.000E+000  0.000E+000  9.339E+000
   1.318E+017  8.647E+000  1.000E+001  2.835E-003  9.931E-001  3.474E-010  0.000E+000  0.000E+000  2.375E-010  0.000E+000  0.000E+000  9.339E+000
   1.413E+017  7.532E+000  1.000E+001  2.645E-003  9.935E-001  3.476E-010  0.000E+000  0.000E+000  2.376E-010  0.000E+000  0.000E+000  9.339E+000
   1.514E+017  6.560E+000  1.000E+001  2.469E-003  9.940E-001  3.478E-010  0.000E+000  0.000E+000  2.378E-010  0.000E+000  0.000E+000  9.339E+000
   1.622E+017  5.713E+000  1.000E+001  2.304E-003  9.944E-001  3.479E-010  0.000E+000  0.000E+000  2.379E-010  0.000E+000  0.000E+000  9.340E+000
   1.738E+017  4.976E+000  1.000E+001  2.150E-003  9.947E-001  3.480E-010  0.000E+000  0.000E+000  2.380E-010  0.000E+000  0.000E+000  9.340E+000
   1.862E+017  4.334E+000  1.000E+001  2.007E-003  9.951E-001  3.482E-010  0.000E+000  0.000E+000  2.381E-010  0.000E+000  0.000E+000  9.340E+000
   1.995E+017  3.775E+000  1.000E+001  1.873E-003  9.954E-001  3.483E-010  0.000E+000  0.000E+000  2.382E-010  0.000E+000  0.000E+000  9.340E+000
   2.138E+017  3.288E+000  1.000E+001  1.748E-003  9.957E-001  3.484E-010  0.000E+000  0.000E+000  2.383E-010  0.000E+000  0.000E+000  9.340E+000
   2.291E+017  2.863E+000  1.000E+001  1.631E-003  9.960E-001  3.485E-010  0.000E+000  0.000E+000  2.384E-010  0.000E+000  0.000E+000  9.340E+000
   2.455E+017  2.494E+000  1.000E+001  1.522E-003  9.963E-001  3.486E-010  0.000E+000  0.000E+000  2.385E-010  0.000E+000  0.000E+000  9.340E+000
   2.630E+017  2.172E+000  1.000E+001  1.421E-003  9.965E-001  3.487E-010  0.000E+000  0.000E+000  2.386E-010  0.000E+000  0.000E+000  9.341E+000
   2.818E+017  1.892E+000  1.000E+001  1.326E-003  9.967E-001  3.488E-010  0.000E+000  0.000E+000  2.387E-010  0.000E+000  0.000E+000  9.341E+000
   3.020E+017  1.648E+000  1.000E+001  1.237E-003  9.970E-001  3.489E-010  0.000E+000  0.000E+000  2.388E-010  0.000E+000  0.000E+000  9.341E+000
   3.236E+017  1.435E+000  1.000E+001  1.155E-003  9.972E-001  3.489E-010  0.000E+000  0.000E+000  2.388E-010  0.000E+000  0.000E+000  9.341E+000
   3.467E+017  1.250E+000  1.000E+001  1.078E-003  9.974E-001  3.490E-010  0.000E+000  0.000E+000  2.389E-010  0.000E+000  0.000E+000  9.341E+000
   3.715E+017  1.089E+000  1.000E+001  1.006E-003  9.975E-001  3.491E-010  0.000E+000  0.000E+000  2.390E-010  0.000E+000  0.000E+000  9.341E+000
   3.981E+017  9.482E-001  1.000E+001  9.386E-004  9.977E-001  3.491E-010  0.000E+000  0.000E+000  2.390E-010  0.000E+000  0.000E+000  9.341E+000
   4.266E+017  8.258E-001  1.000E+001  8.760E-004  9.978E-001  3.492E-010  0.000E+000  0.000E+000  2.391E-010  0.000E+000  0.000E+000  9.341E+000
   4.571E+017  7.193E-001  1.000E+001  8.175E-004  9.980E-001  3.493E-010  0.000E+000  0.000E+000  2.391E-010  0.000E+000  0.000E+000  9.341E+000
   4.898E+017  6.264E-001  1.000E+001  7.630E-004  9.981E-001  3.493E-010  0.000E+000  0.000E+000  2.392E-010  0.000E+000  0.000E+000  9.341E+000
   5.248E+017  5.456E-001  1.000E+001  7.120E-004  9.982E-001  3.493E-010  0.000E+000  0.000E+000  2.392E-010  0.000E+000  0.000E+000  9.341E+000
   5.623E+017  4.752E-001  1.000E+001  6.645E-004  9.984E-001  3.494E-010  0.000E+000  0.000E+000  2.393E-010  0.000E+000  0.000E+000  9.341E+000
   6.026E+017  4.139E-001  1.000E+001  6.202E-004  9.985E-001  3.494E-010  0.000E+000  0.000E+000  2.393E-010  0.000E+000  0.000E+000  9.341E+000
   6.457E+017  3.605E-001  1.000E+001  5.788E-004  9.986E-001  3.495E-010  0.000E+000  0.000E+000  2.394E-010  0.000E+000  0.000E+000  9.341E+000
   6.918E+017  3.140E-001  1.000E+001  5.401E-004  9.987E-001  3.495E-010  0.000E+000  0.000E+000  2.394E-010  0.000E+000  0.000E+000  9.341E+000
   7.413E+017  2.735E-001  1.000E+001  5.041E-004  9.988E-001  3.495E-010  0.000E+000  0.000E+000  2.394E-010  0.000E+000  0.000E+000  9.341E+000
   7.943E+017  2.382E-001  1.000E+001  4.704E-004  9.988E-001  3.496E-010  0.000E+000  0.000E+000  2.395E-010  0.000E+000  0.000E+000  9.341E+000
   8.511E+017  2.074E-001  1.000E+001  4.390E-004  9.989E-001  3.496E-010  0.000E+000  0.000E+000  2.395E-010  0.000E+000  0.000E+000  9.342E+000
   9.120E+017  1.807E-001  1.000E+001  4.097E-004  9.990E-001  3.496E-010  0.000E+000  0.000E+000  2.395E-010  0.000E+000  0.000E+000  9.342E+000
   9.772E+017  1.574E-001  1.000E+001  3.824E-004  9.991E-001  3.497E-010  0.000E+000  0.000E+000  2.395E-010  0.000E+000  0.000E+000  9.342E+000
   1.047E+018  1.371E-001  1.000E+001  3.569E-004  9.991E-001  3.497E-010  0.000E+000  0.000E+000  2.396E-010  0.000E+000  0.000E+000  9.342E+000
